origin^^main^^-1^^SELECT DISTINCT takesCourse_3.c0 as c0  FROM disj_0_4 AS disj_0_4, disj_0_2 AS disj_0_2, table22 AS takesCourse_3, disj_0_0 AS disj_0_0, disj_0_1 AS disj_0_1 WHERE   takesCourse_3.c0=disj_0_0.c0 AND   takesCourse_3.c0=disj_0_1.c0 AND   disj_0_1.c1=disj_0_2.c0 AND   takesCourse_3.c1=disj_0_4.c0 UNION SELECT DISTINCT GraduateStudent_2.c0 as c0  FROM disj_1_1 AS disj_1_1, disj_1_0 AS disj_1_0, table13 AS GraduateStudent_2 WHERE   disj_1_0.c1=disj_1_1.c0 AND   GraduateStudent_2.c0=disj_1_0.c0 UNION SELECT DISTINCT disj_2_0.c0 as c0  FROM disj_2_2 AS disj_2_2, disj_2_0 AS disj_2_0, disj_2_1 AS disj_2_1 WHERE   disj_2_0.c1=disj_2_1.c0 AND   disj_2_0.c0=disj_2_2.c0

1^^disj_0_0^^0^^SELECT Person.c0  FROM table111 AS Person

3^^disj_0_0^^1^^SELECT mastersDegreeFrom.c0  FROM table31 AS mastersDegreeFrom

3^^disj_0_0^^2^^SELECT doctoralDegreeFrom.c0  FROM table29 AS doctoralDegreeFrom

1^^disj_0_0^^3^^SELECT degreeFrom.c0  FROM table110 AS degreeFrom

3^^disj_0_0^^4^^SELECT advisor.c0  FROM table26 AS advisor

3^^disj_0_0^^5^^SELECT undergraduateDegreeFrom.c0  FROM table24 AS undergraduateDegreeFrom

1^^disj_0_0^^6^^SELECT Director.c0  FROM table134 AS Director

3^^disj_0_0^^7^^SELECT TeachingAssistant.c0  FROM table18 AS TeachingAssistant

1^^disj_0_0^^8^^SELECT Employee.c0  FROM table123 AS Employee

3^^disj_0_0^^9^^SELECT GraduateStudent.c0  FROM table13 AS GraduateStudent

1^^disj_0_0^^10^^SELECT Student.c0  FROM table120 AS Student

3^^disj_0_0^^11^^SELECT ResearchAssistant.c0  FROM table14 AS ResearchAssistant

1^^disj_0_0^^12^^SELECT Chair.c0  FROM table148 AS Chair

1^^disj_0_0^^13^^SELECT member.c1  FROM table133 AS member

1^^disj_0_0^^14^^SELECT hasAlumnus.c1  FROM table132 AS hasAlumnus

3^^disj_0_0^^15^^SELECT publicationAuthor.c1  FROM table25 AS publicationAuthor

1^^disj_0_0^^16^^SELECT affiliateOf.c1  FROM table127 AS affiliateOf

1^^disj_0_0^^17^^SELECT title.c0  FROM table159 AS title

3^^disj_0_0^^18^^SELECT telephone.c0  FROM table0 AS telephone

1^^disj_0_0^^19^^SELECT age.c0  FROM table160 AS age

3^^disj_0_0^^20^^SELECT emailAddress.c0  FROM table2 AS emailAddress

1^^disj_0_0^^21^^SELECT Faculty.c0  FROM table124 AS Faculty

3^^disj_0_0^^22^^SELECT teachingAssistantOf.c0  FROM table32 AS teachingAssistantOf

3^^disj_0_0^^23^^SELECT worksFor.c0  FROM table28 AS worksFor

1^^disj_0_0^^24^^SELECT AdministrativeStaff.c0  FROM table149 AS AdministrativeStaff

1^^disj_0_0^^25^^SELECT hasExamRecord.c0  FROM table121 AS hasExamRecord

3^^disj_0_0^^26^^SELECT Subj8Student.c0  FROM table102 AS Subj8Student

3^^disj_0_0^^27^^SELECT Subj1Student.c0  FROM table46 AS Subj1Student

3^^disj_0_0^^28^^SELECT Subj5Student.c0  FROM table107 AS Subj5Student

3^^disj_0_0^^29^^SELECT Subj11Student.c0  FROM table66 AS Subj11Student

3^^disj_0_0^^30^^SELECT Subj19Student.c0  FROM table74 AS Subj19Student

